                 Age (BP)   Period_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454    Period_1 late boundary   Period_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448    Period_2 late boundary 
                     3245                         0                         0                         0                         0                         0                         0                         0              2.16928e-287              6.56453e-217              2.75764e-204              1.35584e-196              1.86325e-167                         0                         0 
                     3250                         0                         0                         0                         0                         0                         0                         0              3.03596e-286              6.53311e-217              3.85937e-203              1.34935e-196              1.85433e-167                         0                         0 
                     3255                         0                         0                         0                         0                         0                         0                         0              3.02142e-286              9.14321e-216               3.8409e-203              1.88845e-195              2.59517e-166                         0                         0 
                     3260                         0                         0                         0                         0                         0                         0                         0              4.22854e-285              9.09944e-216              5.37541e-202              1.87941e-195              2.58275e-166                         0                         0 
                     3265                         0                         0                         0                         0                         0                         0                         0               4.2083e-285              1.27348e-214              5.34968e-202              2.63027e-194              3.61461e-165                         0                         0 
                     3270                         0                         0                         0                         0                         0                         0                         0               5.8896e-284              1.26739e-214              7.48698e-201              2.61768e-194              3.59731e-165                         0                         0 
                     3275                         0                         0                         0                         0                         0                         0                         0              5.86141e-284              1.77374e-213              7.45114e-201              3.66349e-193               5.0345e-164                         0                         0 
                     3280                         0                         0                         0                         0                         0                         0                         0              8.20315e-283              1.76525e-213               1.0428e-199              3.64595e-193              5.01041e-164                         0                         0 
                     3285                         0                         0                         0                         0                         0                         0                         0              8.16389e-283               2.4705e-212              1.03781e-199              5.10258e-192              7.01216e-163                         0                         0 
                     3290                         0                         0                         0                         0                         0                         0                         0              1.14255e-281              2.45867e-212              1.45243e-198              5.07816e-192               6.9786e-163                         0                         0 
                     3295                         0                         0                         0                         0                         0                         0                         0              1.13708e-281              3.44096e-211              1.44548e-198              7.10698e-191              9.76668e-162                         0                         0 
                     3300                         0                         0                         0                         0                         0                         0                         0              1.59137e-280              3.42449e-211              2.02298e-197              7.07296e-191              9.71993e-162                         0                         0 
                     3305                         0                         0                         0                         0                         0                         0                         0              1.58375e-280              4.79263e-210               2.0133e-197              9.89874e-190              1.36032e-160                         0                         0 
                     3310                         0                         0                         0                         0                         0                         0                         0              2.21649e-279              4.76969e-210              2.81765e-196              9.85136e-190              1.35381e-160                         0                         0 
                     3315                         0                         0                         0                         0                         0                         0                         0              2.20588e-279              6.67528e-209              2.80416e-196              1.37872e-188              1.89469e-159                         0                         0 
                     3320                         0                         0                         0                         0                         0                         0                         0              3.08717e-278              6.64333e-209              3.92448e-195              1.37212e-188              1.88562e-159                         0                         0 
                     3325                         0                         0                         0                         0                         0                         0                         0               3.0724e-278              9.29746e-208              3.90569e-195              1.92031e-187              2.63896e-158                         0                         0 
