         Mean_age (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                    -3110               3.37011e-19                         0                         0 
                    -3105               3.35398e-19                         0                         0 
                    -3100               4.69396e-18                         0                         0 
                    -3095               4.67149e-18                         0                         0 
                    -3090               6.53785e-17                         0                         0 
                    -3085               6.50655e-17                         0                         0 
                    -3080               9.10605e-16                         0                         0 
                    -3075               9.06246e-16                         0                         0 
                    -3070               1.26831e-14                         0                         0 
                    -3065               1.26224e-14                         0                         0 
                    -3060               1.76653e-13                         0                         0 
                    -3055               1.75807e-13                         0                         0 
                    -3050               2.46045e-12                         0                         0 
                    -3045               2.44868e-12                         0                         0 
                    -3040               3.42697e-11                         0                         0 
                    -3035               3.41057e-11                         0                         0 
                    -3030               4.77315e-10                         0                         0 
                    -3025               4.75031e-10                         0                         0 
                    -3020               6.64814e-09                         0                         0 
                    -3015               6.61632e-09                         0                         0 
                    -3010               9.25967e-08                         0                         0 
                    -3005               9.21535e-08                         0                         0 
                    -3000               1.28971e-06                         0                         0 
                    -2995               1.28353e-06                         0                         0 
                    -2990               1.79633e-05                         0                         0 
                    -2985               1.78773e-05                         0                         0 
                    -2980               0.000250196                         0                         0 
                    -2975                0.00776838                         0                         0 
                    -2970                 0.0157964                         0                 0.0157964 
                    -2965                 0.0228725                         0                 0.0228725 
                    -2960                 0.0296034                         0                 0.0296034 
                    -2955                 0.0300986                         0                 0.0300986 
                    -2950                 0.0249186                         0                 0.0249186 
                    -2945                 0.0223805                         0                 0.0223805 
                    -2940                  0.022138                         0                  0.022138 
                    -2935                 0.0184577                         0                 0.0184577 
                    -2930                 0.0262332                         0                 0.0262332 
                    -2925                 0.0323574                         0                 0.0323574 
                    -2920                 0.0444131                 0.0444131                 0.0444131 
                    -2915                  0.076326                  0.076326                  0.076326 
                    -2910                  0.111535                  0.111535                  0.111535 
                    -2905                  0.129277                  0.129277                  0.129277 
                    -2900                  0.127331                  0.127331                  0.127331 
                    -2895                  0.111382                  0.111382                  0.111382 
                    -2890                  0.077688                  0.077688                  0.077688 
                    -2885                 0.0403171                 0.0403171                 0.0403171 
                    -2880                 0.0140722                         0                         0 
                    -2875                0.00761807                         0                         0 
                    -2870                0.00602225                         0                         0 
                    -2865               0.000957192                         0                         0 
                    -2860                6.8446e-05                         0                         0 
                    -2855               6.87232e-05                         0                         0 
                    -2850               4.87713e-06                         0                         0 
                    -2845               4.87713e-06                         0                         0 
                    -2840                2.7711e-07                         0                         0 
                    -2835                2.7711e-07                         0                         0 
                    -2830                         0                         0                         0 
                    -2825                         0                         0                         0 
                    -2820                         0                         0                         0 
                    -2815                         0                         0                         0 
                    -2810                         0                         0                         0 
                    -2805                         0                         0                         0 
                    -2800                         0                         0                         0 
                    -2795                         0                         0                         0 
                    -2790                         0                         0                         0 
                    -2785                         0                         0                         0 
                    -2780                         0                         0                         0 
                    -2775                         0                         0                         0 
                    -2770                         0                         0                         0 
                    -2765                         0                         0                         0 
                    -2760                         0                         0                         0 
                    -2755                         0                         0                         0 
                    -2750                         0                         0                         0 
                    -2745                         0                         0                         0 
                    -2740                         0                         0                         0 
                    -2735                         0                         0                         0 
                    -2730                         0                         0                         0 
                    -2725                         0                         0                         0 
                    -2720                         0                         0                         0 
                    -2715                         0                         0                         0 
                    -2710                         0                         0                         0 
                    -2705                         0                         0                         0 
                    -2700                         0                         0                         0 
                    -2695                         0                         0                         0 
                    -2690                         0                         0                         0 
                    -2685                         0                         0                         0 
                    -2680                         0                         0                         0 
                    -2675                         0                         0                         0 
                    -2670                         0                         0                         0 
                    -2665                         0                         0                         0 
                    -2660                         0                         0                         0 
                    -2655                         0                         0                         0 
                    -2650                         0                         0                         0 
                    -2645                         0                         0                         0 
                    -2640                         0                         0                         0 
                    -2635                         0                         0                         0 
                    -2630                         0                         0                         0 
                    -2625                         0                         0                         0 
                    -2620                         0                         0                         0 
                    -2615                         0                         0                         0 
                    -2610                         0                         0                         0 
                    -2605                         0                         0                         0 
                    -2600                         0                         0                         0 
                    -2595                         0                         0                         0 
                    -2590                         0                         0                         0 
                    -2585                         0                         0                         0 
                    -2580                         0                         0                         0 
                    -2575                         0                         0                         0 
                    -2570                         0                         0                         0 
